"phone","category"
"<s>","start/end"
"</s>","start/end"
"n","nasal"
"l","approximant"
"ɪ","vowel"
"ə","vowel"
"ʊ","vowel"
"k","obs"
"t","obs"
"m","nasal"
"s","obs"
"b","obs"
"p","obs"
"f","obs"
"ɹ","approximant"
"d","obs"
"u1ː","vowel"
"ʃ","obs"
"g","obs"
"ŋ","nasal"
"v","obs"
"z","obs"
"θ","obs"
"d.ʒ","obs"
"t.ʃ","obs"
"ð","obs"
"ʒ","obs"
"x","obs"
"h","obs"
"j","approximant"
"e1","vowel"
"e","vowel"
"ɔ1","vowel"
"ɔ","vowel"
"ɔ2","vowel"
"e2","vowel"
"a1","vowel"
"a","vowel"
"a2","vowel"
"æ","vowel"
"ɑ","vowel"
"ɑ1ː","vowel"
"ɑː","vowel"
"ɑ2ː","vowel"
"ɒ1ː","vowel"
"ɒː","vowel"
"ɒ2ː","vowel"
"æ1ː","vowel"
"ɜː","vowel"
"ɜ2ː","vowel"
"æ2","vowel"
"ɑ2","vowel"
"ɔ1ː","vowel"
"ɔː","vowel"
"ɔ2ː","vowel"
"i1ː","vowel"
"uː","vowel"
"u2ː","vowel"
"i2ː","vowel"
"iː","vowel"
"ʊ1","vowel"
"ʊ2","vowel"
"ɜ1ː","vowel"
"ʌ1","vowel"
"ʌ2","vowel"
"ʌ","vowel"
"ɛ1","vowel"
"ɛ2","vowel"
"ɛ","vowel"
"ɪ1","vowel"
"ɪ2","vowel"
"ɑ1","vowel"
"æ1","vowel"
"o1","vowel"
"o2","vowel"
"o","vowel"
"w","approximant"
